	x1	x2	x3	x4	x5	x6	x7	x8	y1	y2	y3	y4	y5	y6	y7	y8	
x1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
x2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
x3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
x4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
x5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
x6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
x7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
x8	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
y1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
y2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
y3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
y4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
y5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
y6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
y7	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
y8	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
